period_start_ins,period_end_ins,component,power,time
33434395,33689755,core-alu,0.405378,3136.0
33689755,33945115,core-alu,0.405378,3152.0
33945115,34200475,core-alu,0.405378,3168.0
34200475,34455835,core-alu,0.405378,3184.0
34455835,34711195,core-alu,0.405378,3200.0
34711195,34966555,core-alu,0.405378,3216.0
34966555,35221915,core-alu,0.405378,3232.0
35221915,35477275,core-alu,0.405378,3248.0
35477275,35732641,core-alu,0.405378,3264.0
35732641,35988001,core-alu,0.405378,3280.0
35988001,36243361,core-alu,0.405378,3296.0
36243361,36498721,core-alu,0.405378,3312.0
36498721,36754081,core-alu,0.405378,3328.0
36754081,37009441,core-alu,0.405378,3344.0
37009441,37264801,core-alu,0.405378,3360.0
37264801,37520161,core-alu,0.405378,3376.0
37520161,37775521,core-alu,0.405378,3392.0
37775521,38030881,core-alu,0.405378,3408.0
38030881,38286247,core-alu,0.405378,3424.0
38286247,38541607,core-alu,0.405378,3440.0
38541607,38796967,core-alu,0.405378,3456.0
38796967,39052327,core-alu,0.405378,3472.0
39052327,39307687,core-alu,0.405378,3488.0
39307687,39563047,core-alu,0.405378,3504.0
39563047,39818407,core-alu,0.405378,3520.0
39818407,40073767,core-alu,0.405378,3536.0
40073767,40329127,core-alu,0.405378,3552.0
40329127,40584487,core-alu,0.405378,3568.0
40584487,40839847,core-alu,0.405378,3584.0
40839847,41095213,core-alu,0.405378,3600.0
41095213,41345520,core-alu,0.41066,3616.0
41345520,41600880,core-alu,0.405378,3632.0
41600880,41856240,core-alu,0.405378,3648.0
41856240,42111600,core-alu,0.405378,3664.0
42111600,42366960,core-alu,0.405378,3680.0
42366960,42622320,core-alu,0.405378,3696.0
42622320,42877680,core-alu,0.405378,3712.0
42877680,43133040,core-alu,0.405378,3728.0
43133040,43388400,core-alu,0.405378,3744.0
43388400,43643766,core-alu,0.405378,3760.0
43643766,43899126,core-alu,0.405378,3776.0
43899126,44154486,core-alu,0.405378,3792.0
44154486,44409846,core-alu,0.405378,3808.0
44409846,44665206,core-alu,0.405378,3824.0
44665206,44920566,core-alu,0.405378,3840.0
44920566,45175926,core-alu,0.405378,3856.0
45175926,45431286,core-alu,0.405378,3872.0
45431286,45686646,core-alu,0.405378,3888.0
45686646,45942006,core-alu,0.405378,3904.0
45942006,46197372,core-alu,0.405378,3920.0
46197372,46452732,core-alu,0.405378,3936.0
46452732,46708092,core-alu,0.405378,3952.0
46708092,46963452,core-alu,0.405378,3968.0
46963452,47218812,core-alu,0.405378,3984.0
47218812,47474172,core-alu,0.405378,4000.0
47474172,47729532,core-alu,0.405378,4016.0
47729532,47984892,core-alu,0.405378,4032.0
47984892,48240252,core-alu,0.405378,4048.0
48240252,48495612,core-alu,0.405378,4064.0
48495612,48750972,core-alu,0.405378,4080.0
48750972,49006338,core-alu,0.405378,4096.0
49006338,49261698,core-alu,0.405378,4112.0
49261698,49517058,core-alu,0.405378,4128.0
49517058,49772418,core-alu,0.405378,4144.0
49772418,50027778,core-alu,0.405378,4160.0
50027778,50283138,core-alu,0.405378,4176.0
50283138,50538498,core-alu,0.405378,4192.0
50538498,50793858,core-alu,0.405378,4208.0
50793858,51049218,core-alu,0.405378,4224.0
51049218,51304578,core-alu,0.405378,4240.0
51304578,51559944,core-alu,0.405378,4256.0
51559944,51815304,core-alu,0.405378,4272.0
51815304,52070664,core-alu,0.405378,4288.0
52070664,52326024,core-alu,0.405378,4304.0
52326024,52581384,core-alu,0.405378,4320.0
52581384,52836744,core-alu,0.405378,4336.0
52836744,53092104,core-alu,0.405378,4352.0
53092104,53347464,core-alu,0.405378,4368.0
53347464,53602824,core-alu,0.405378,4384.0
53602824,53858184,core-alu,0.405378,4400.0
53858184,54113544,core-alu,0.405378,4416.0
54113544,54368910,core-alu,0.405378,4432.0
54368910,54624270,core-alu,0.405378,4448.0
54624270,54879630,core-alu,0.405378,4464.0
54879630,55134990,core-alu,0.405378,4480.0
55134990,55390350,core-alu,0.405378,4496.0
55390350,55645710,core-alu,0.405378,4512.0
55645710,55901070,core-alu,0.405378,4528.0
55901070,56156430,core-alu,0.405378,4544.0
56156430,56411790,core-alu,0.405378,4560.0
56411790,56667150,core-alu,0.405378,4576.0
56667150,56922516,core-alu,0.405378,4592.0
56922516,57173158,core-alu,0.407051,4608.0
57173158,57252567,core-alu,0.501126,4624.0
57252567,57355247,core-alu,0.593946,4640.0
57355247,57460545,core-alu,0.598653,4656.0
57460545,57566448,core-alu,0.599351,4672.0
57566448,57672325,core-alu,0.599943,4688.0
57672325,57779395,core-alu,0.600815,4704.0
57779395,57882105,core-alu,0.596508,4720.0
57882105,57984305,core-alu,0.594504,4736.0
57984305,58088690,core-alu,0.598113,4752.0
58088690,58191298,core-alu,0.595533,4768.0
58191298,58293182,core-alu,0.596456,4784.0
58293182,58395107,core-alu,0.596649,4800.0
58395107,58495590,core-alu,0.596788,4816.0
58495590,58598340,core-alu,0.597764,4832.0
58598340,58705401,core-alu,0.601059,4848.0
58705401,58808690,core-alu,0.597067,4864.0
58808690,58915572,core-alu,0.600519,4880.0
58915572,59021966,core-alu,0.599472,4896.0
59021966,59129844,core-alu,0.602227,4912.0
59129844,59236536,core-alu,0.600641,4928.0
59236536,59338731,core-alu,0.597712,4944.0
59338731,59442268,core-alu,0.59935,4960.0
59442268,59546154,core-alu,0.598897,4976.0
59546154,59652358,core-alu,0.600589,4992.0
59652358,59756207,core-alu,0.598478,5008.0
59756207,59863864,core-alu,0.601704,5024.0
59863864,59970661,core-alu,0.601826,5040.0
59970661,60076583,core-alu,0.601321,5056.0
60076583,60182587,core-alu,0.600065,5072.0
60182587,60286919,core-alu,0.599734,5088.0
60286919,60390477,core-alu,0.598462,5104.0
60390477,60497107,core-alu,0.601756,5120.0
60497107,60604292,core-alu,0.601286,5136.0
60604292,60710553,core-alu,0.60146,5152.0
60710553,60819285,core-alu,0.602924,5168.0
60819285,60923385,core-alu,0.59881,5184.0
60923385,61028965,core-alu,0.600118,5200.0
61028965,61133294,core-alu,0.599403,5216.0
61133294,61236415,core-alu,0.598217,5232.0
61236415,61339457,core-alu,0.59813,5248.0
61339457,61443697,core-alu,0.599646,5264.0
61443697,61547564,core-alu,0.59949,5280.0
61547564,61653571,core-alu,0.601582,5296.0
61653571,61759171,core-alu,0.600518,5312.0
61759171,61866933,core-alu,0.602418,5328.0
61866933,61975087,core-alu,0.602158,5344.0
61975087,62080688,core-alu,0.600187,5360.0
62080688,62187428,core-alu,0.60132,5376.0
62187428,62292465,core-alu,0.600746,5392.0
62292465,62395348,core-alu,0.598949,5408.0
62395348,62497922,core-alu,0.598584,5424.0
62497922,62601710,core-alu,0.599211,5440.0
62601710,62704813,core-alu,0.59881,5456.0
62704813,62807694,core-alu,0.598985,5472.0
62807694,62911464,core-alu,0.599367,5488.0
62911464,63013611,core-alu,0.598026,5504.0
63013611,63116207,core-alu,0.597416,5520.0
63116207,63221616,core-alu,0.599402,5536.0
