directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-124000026-periodicins-125000012-999986.txt,periodicins-124000026,periodicins-125000012,20.1721,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-84000007-periodicins-85000007-1000000.txt,periodicins-84000007,periodicins-85000007,20.2904,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-64000004-periodicins-65000006-1000002.txt,periodicins-64000004,periodicins-65000006,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-55000008-periodicins-56000008-1000000.txt,periodicins-55000008,periodicins-56000008,20.0769,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-roi-begin-periodicins-1000058-1000058.txt,,,5.88716,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-7000004-periodicins-8000003-999999.txt,periodicins-7000004,periodicins-8000003,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-58000006-periodicins-59000031-1000025.txt,periodicins-58000006,periodicins-59000031,20.4102,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-21000018-periodicins-22000021-1000003.txt,periodicins-21000018,periodicins-22000021,20.3838,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-38000006-periodicins-39000002-999996.txt,periodicins-38000006,periodicins-39000002,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-31000016-periodicins-32000009-999993.txt,periodicins-31000016,periodicins-32000009,13.9188,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-42000002-periodicins-43000004-1000002.txt,periodicins-42000002,periodicins-43000004,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-92000018-periodicins-93000002-999984.txt,periodicins-92000018,periodicins-93000002,22.4568,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-61000004-periodicins-62000004-1000000.txt,periodicins-61000004,periodicins-62000004,18.1955,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-66000002-periodicins-67000004-1000002.txt,periodicins-66000002,periodicins-67000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-45000002-periodicins-46000004-1000002.txt,periodicins-45000002,periodicins-46000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_2048-4096_barnes-intervals,2048,4096,power-periodicins-27000007-periodicins-28000006-999999.txt,periodicins-27000007,periodicins-28000006,20.4698,0.0,0.0
