directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_1024,118146,8682,6485,18397000,112810,6720,836,18397000
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_simple_branch_2048,116604,8553,6483,18397900,112468,6750,830,18397900
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_512,118002,8592,6503,18423600,112396,6777,794,18423600
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_none_branch_4096,117272,8572,6430,18433500,114330,6699,879,18433500
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_2048,118042,8719,6549,18437700,112825,6775,868,18437700
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_1024,117189,10468,6442,18444400,114543,6278,860,18444400
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_none_branch_4096,118306,8590,6558,18446100,114391,6758,827,18446100
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,117042,8528,6464,18480300,114056,6639,852,18480300
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_512,118601,10684,6538,18530300,114478,6097,833,18530300
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_ghb_branch_2048,118982,8369,6583,18535400,115432,6717,757,18535400
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_ghb_branch_2048,118384,8334,6588,18542800,115110,6760,762,18542800
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_2048,116827,8601,6447,19328000,112707,6687,848,19328000
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096,116617,10270,6463,19370800,113093,6001,834,19370800
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_1024,116823,8618,6464,19374800,112744,6569,843,19374800
/root/snipersim_framework/config_l2_512_l3MB_16384_prefetch_simple_branch_1024,117880,8644,6493,19389200,113061,6714,885,19389200
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_ghb_branch_2048,117187,10406,6501,19428000,114479,6321,819,19428000
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_ghb_branch_1024,117166,8532,6432,19428100,114432,6645,880,19428100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_2048,117147,8558,6451,19435100,114684,6760,856,19435100
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_simple_branch_4096,116356,8750,6451,19444800,112796,6764,891,19444800
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_512,118831,8613,6564,19457600,114404,6908,851,19457600
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512,116804,10399,6437,20338700,112662,6016,851,20338700
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_simple_branch_512,116489,10189,6536,20360900,110793,6400,786,20360900
/root/snipersim_framework/config_l2_512_l3MB_4096_prefetch_none_branch_1024,116621,8570,6443,20381100,112501,6727,855,20381100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_512,118043,10521,6496,20386100,112297,6185,804,20386100
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_simple_branch_4096,117028,10349,6411,20391700,113818,6161,867,20391700
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_simple_branch_2048,117348,8650,6539,20435800,114247,6810,780,20435800
/root/snipersim_framework/config_l2_256_l3MB_4096_prefetch_none_branch_2048,118329,10377,6517,20458600,113791,6186,827,20458600
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,116878,8674,6612,20459100,114682,7083,806,20459100
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_none_branch_1024,116617,8498,6483,21343000,112501,6779,815,21343000
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_simple_branch_512,117203,8529,6484,22391000,114555,6837,834,22391000
/root/snipersim_framework/config_baseline_l2_256_l3_4096_prefetcher_none_branch_512,227894,11185,7422,36481700,,,,
