Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_1024,10.2,17.97,0.79,7.89,2.09,1.89,1.31,2.04,1.96,4.29,5.62,1.63,0.85,3.43,0.03,33.82
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,11.14,17.82,0.8,7.77,2.09,1.85,1.3,2.06,1.95,4.35,5.64,1.58,1.78,3.43,0.03,34.63
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_512,10.18,17.88,0.79,7.83,2.08,1.87,1.31,2.04,1.96,4.28,5.63,1.61,0.85,3.43,0.03,33.71
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_2048,11.17,17.93,0.8,7.84,2.1,1.86,1.3,2.08,1.95,4.37,5.65,1.59,1.78,3.43,0.03,34.78
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,11.17,17.67,0.8,7.63,2.11,1.81,1.28,2.09,1.95,4.43,5.68,1.53,1.78,3.43,0.03,34.54
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_2048,13.4,17.89,0.8,7.78,2.1,1.84,1.3,2.09,1.98,4.41,5.67,1.57,4.0,3.42,0.03,36.99
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,10.31,17.91,0.8,7.78,2.11,1.83,1.3,2.11,1.96,4.47,5.69,1.56,0.85,3.43,0.03,33.93
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_2048,13.3,18.0,0.79,7.91,2.08,1.9,1.32,2.02,1.98,4.24,5.64,1.65,4.0,3.42,0.03,36.97
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,11.12,17.74,0.8,7.71,2.09,1.84,1.29,2.06,1.95,4.34,5.66,1.57,1.78,3.43,0.03,34.55
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_simple_branch_2048,11.19,17.71,0.8,7.66,2.11,1.8,1.28,2.1,1.95,4.46,5.72,1.53,1.78,3.43,0.03,34.66
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_none_branch_4096,10.25,17.66,0.8,7.62,2.11,1.8,1.28,2.09,1.96,4.44,5.67,1.53,0.85,3.43,0.03,33.61
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_4096,11.27,17.88,0.81,7.75,2.13,1.82,1.29,2.14,1.95,4.53,5.73,1.53,1.78,3.43,0.03,34.9
