Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_simple_branch_2048,11.84,18.26,0.69,7.71,1.82,2.06,1.38,2.64,1.95,5.85,4.29,0.85,1.77,3.38,0.03,34.41
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_simple_branch_4096,13.86,18.27,0.67,7.78,1.76,2.11,1.38,2.58,1.98,5.73,4.28,0.78,3.99,3.38,0.03,36.45
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_none_branch_2048,11.48,17.77,0.68,7.51,1.78,2.01,1.34,2.5,1.95,5.54,4.29,0.8,1.77,3.38,0.03,33.57
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_ghb_branch_4096,10.39,17.38,0.67,7.26,1.76,1.98,1.32,2.43,1.96,5.4,4.28,0.78,0.84,3.38,0.03,32.09
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_ghb_branch_2048,9.92,15.88,0.68,6.32,1.78,1.74,1.21,2.2,1.96,4.9,4.29,0.8,0.84,3.38,0.03,30.12
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_4096,13.94,18.18,0.68,7.68,1.8,2.06,1.37,2.6,1.98,5.76,4.29,0.82,3.99,3.38,0.03,36.44
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_simple_branch_1024,10.73,17.71,0.7,7.39,1.84,1.94,1.33,2.55,1.96,5.64,4.29,0.88,0.84,3.38,0.03,32.77
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_4096,10.59,17.97,0.67,7.64,1.77,2.06,1.36,2.52,1.96,5.6,4.28,0.78,0.84,3.38,0.03,32.88
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_ghb_branch_512,13.84,18.1,0.68,7.67,1.78,2.07,1.37,2.56,1.98,5.68,4.29,0.8,3.99,3.38,0.03,36.26
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_simple_branch_2048,13.84,17.61,0.69,7.29,1.82,1.96,1.34,2.54,1.98,5.62,4.29,0.85,3.99,3.38,0.03,35.77
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_ghb_branch_2048,10.53,17.69,0.67,7.43,1.77,2.03,1.35,2.49,1.96,5.54,4.28,0.78,0.84,3.38,0.03,32.54
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_simple_branch_4096,10.2,16.81,0.67,6.9,1.77,1.89,1.28,2.34,1.96,5.21,4.28,0.78,0.84,3.38,0.03,31.33
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_2048,10.54,17.74,0.68,7.49,1.78,2.01,1.34,2.49,1.96,5.53,4.29,0.8,0.84,3.38,0.03,32.6
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_ghb_branch_2048,11.58,17.84,0.68,7.52,1.8,2.01,1.35,2.53,1.95,5.61,4.29,0.82,1.77,3.38,0.03,33.73
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_ghb_branch_1024,13.65,17.54,0.68,7.35,1.8,1.95,1.32,2.46,1.98,5.46,4.29,0.82,3.99,3.38,0.03,35.51
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_512,10.33,17.35,0.67,7.27,1.75,1.98,1.31,2.4,1.96,5.35,4.28,0.76,0.84,3.38,0.03,31.99
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_none_branch_4096,11.26,17.13,0.68,7.11,1.78,1.92,1.3,2.4,1.95,5.32,4.29,0.8,1.77,3.38,0.03,32.71
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_simple_branch_1024,11.58,17.85,0.68,7.53,1.8,2.01,1.35,2.53,1.95,5.61,4.29,0.82,1.77,3.38,0.03,33.74
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_none_branch_512,13.87,17.86,0.68,7.45,1.8,2.02,1.36,2.56,1.98,5.68,4.29,0.82,3.99,3.38,0.03,36.04
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_simple_branch_2048,11.41,17.8,0.66,7.54,1.74,2.08,1.36,2.48,1.95,5.53,4.28,0.74,1.76,3.37,0.03,33.53
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_512,11.73,18.17,0.68,7.7,1.8,2.06,1.38,2.6,1.95,5.76,4.29,0.82,1.77,3.38,0.03,34.22
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_simple_branch_4096,10.69,18.07,0.68,7.66,1.78,2.06,1.37,2.56,1.96,5.68,4.29,0.8,0.84,3.38,0.03,33.07
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_simple_branch_4096,14.05,18.09,0.7,7.58,1.84,2.0,1.37,2.63,1.98,5.8,4.29,0.87,4.0,3.38,0.03,36.46
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_simple_branch_2048,10.8,18.18,0.68,7.7,1.8,2.06,1.38,2.6,1.96,5.76,4.29,0.82,0.84,3.38,0.03,33.29
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_simple_branch_512,13.8,17.87,0.68,7.52,1.8,2.01,1.35,2.53,1.98,5.61,4.29,0.82,3.99,3.38,0.03,35.98
