directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_simple_branch_1024,50788,84836,50663,20538000,54631080,149507937,8501,28046,8505,20538000,54631080,82747415
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_16384_prefetch_simple_branch_4096,50808,85026,50655,20537000,54628420,149506921,8501,27974,8508,20537000,54628420,82751443
/root/snipersim_framework/cholesky_config_l2_256_l3MB_8192_prefetch_simple_branch_1024,50812,128071,50662,20687400,55028484,149331287,8509,33396,8506,20687400,55028484,82698327
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_simple_branch_1024,50798,101634,50666,20577600,54736416,149425866,8493,30381,8505,20577600,54736416,82738468
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_ghb_branch_2048,50792,101953,50669,20574000,54726840,149411035,8507,30395,8500,20574000,54726840,82731259
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_16384_prefetch_none_branch_2048,50789,84918,50682,20536700,54627622,149503549,8473,27896,8492,20536700,54627622,82759368
/root/snipersim_framework/cholesky_config_l2_256_l3MB_4096_prefetch_none_branch_1024,50781,128230,50656,20689500,55034070,149319858,8509,33464,8511,20689500,55034070,82697525
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,50805,85171,50666,20537100,54628686,149498473,8505,27885,8502,20537100,54628686,82752354
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,50779,84991,50666,20536000,54625760,149508232,8493,27886,8504,20536000,54625760,82755638
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_ghb_branch_4096,50803,102044,50679,20577800,54736948,149425436,8521,30420,8499,20577800,54736948,82734393
/root/snipersim_framework/cholesky_config_l2_256_l3MB_12288_prefetch_ghb_branch_512,50827,128494,50674,20689700,55034602,149312898,8502,33385,8493,20689700,55034602,82701516
/root/snipersim_framework/cholesky_config_l2_512_l3MB_8192_prefetch_none_branch_4096,50796,102319,50666,20577500,54736150,149428397,8510,30336,8501,20577500,54736150,82735294
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_simple_branch_1024,50814,102133,50655,20576500,54733490,149422992,8519,30474,8512,20576500,54733490,82735642
/root/snipersim_framework/cholesky_config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,50768,101846,50670,20574500,54728170,149429055,8506,30383,8497,20574500,54728170,82736282
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_ghb_branch_1024,50795,102074,50664,20575100,54729766,149424043,8507,30467,8501,20575100,54729766,82734300
/root/snipersim_framework/cholesky_config_l2_512_l3MB_16384_prefetch_simple_branch_512,50791,102178,50661,20575700,54731362,149423047,8496,30405,8504,20575700,54731362,82735280
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_none_branch_2048,50783,102059,50667,20575500,54730830,149431057,8506,30354,8501,20575500,54730830,82738280
/root/snipersim_framework/cholesky_config_l2_512_l3MB_12288_prefetch_ghb_branch_4096,50794,101839,50676,20576400,54733224,149417424,8511,30422,8498,20576400,54733224,82732383
/root/snipersim_framework/cholesky_config_l2_512_l3MB_4096_prefetch_simple_branch_4096,50783,102320,50664,20575300,54730298,149418955,8509,30318,8503,20575300,54730298,82735609
/root/snipersim_framework/cholesky_config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,50786,128372,50655,20686900,55027154,149328080,8488,33563,8509,20686900,55027154,82693467
/root/snipersim_framework/cholesky_config_l2_1024_l3MB_16384_prefetch_none_branch_512,50798,84910,50666,20537800,54630548,149509014,8490,27910,8502,20537800,54630548,82757429
/root/snipersim_framework/cholesky_config_l2_512_l3MB_16384_prefetch_simple_branch_1024,50831,102051,50654,20573900,54726574,149414164,8502,30423,8508,20573900,54726574,82734448
