directory,period,branch_predictor.num-correct_core0,branch_predictor.num-correct_core1,branch_predictor.num-incorrect_core0,branch_predictor.num-incorrect_core1,L2.load-misses_core0,L2.load-misses_core1,L2.loads_core0,L2.loads_core1,L2.stores_core0,L2.stores_core1,L2.store-misses_core0,L2.store-misses_core1,core.instructions_core0,core.instructions_core1,performance_model.elapsed_time_core0,performance_model.elapsed_time_core1,performance_model.idle_elapsed_time_core0,performance_model.idle_elapsed_time_core1,performance_model.instruction_count_core0,performance_model.instruction_count_core1,L3.load-misses_core0,L3.load-misses_core1,L3.loads_core0,L3.loads_core1,L3.stores_core0,L3.stores_core1,L3.store-misses_core0,L3.store-misses_core1,L2.evict-E_core0,L2.evict-E_core1,L2.evict-I_core0,L2.evict-I_core1,L2.evict-M_core0,L2.evict-M_core1,L2.evict-O_core0,L2.evict-O_core1,L2.evict-prefetch_core0,L2.evict-prefetch_core1,L2.evict-S_core0,L2.evict-S_core1,L2.evict-u_core0,L2.evict-u_core1,L2.evict-warmup_core0,L2.evict-warmup_core1,L1-D.loads_core0,L1-D.loads_core1,L1-D.stores_core0,L1-D.stores_core1,rob_timer.uop_fp_addsub_core0,rob_timer.uop_fp_addsub_core1,rob_timer.uop_fp_muldiv_core0,rob_timer.uop_fp_muldiv_core1,rob_timer.uops_x87_core0,rob_timer.uops_x87_core1,rob_timer.uop_load_core0,rob_timer.uop_load_core1,rob_timer.uop_store_core0,rob_timer.uop_store_core1,rob_timer.uop_generic_core0,rob_timer.uop_generic_core1,rob_timer.uop_branch_core0,rob_timer.uop_branch_core1,power.core[0].total_core0,power.core[0].total_core1,power.core[0].dynamic_core0,power.core[0].dynamic_core1,power.core[0].leakage_core0,power.core[0].leakage_core1,power.core[1].total_core0,power.core[1].total_core1,power.core[1].dynamic_core0,power.core[1].dynamic_core1,power.core[1].leakage_core0,power.core[1].leakage_core1,l2_most_usage_core0,l2_most_usage_core1,normalized_commit_float_core0,normalized_commit_float_core1,normalized_commit_mem_core0,normalized_commit_mem_core1,normalized_commit_int_core0,normalized_commit_int_core1,l1_data_access_core0,l1_data_access_core1,normalized_commit_ctrl_core0,normalized_commit_ctrl_core1,l2_avg_eviction_rate_core0,l2_avg_eviction_rate_core1,l2_most_hit_rate_core0,l2_most_hit_rate_core1,l3_usage_core0,l3_usage_core1,branch_mispred_rate_core0,branch_mispred_rate_core1
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-94000016:94000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,94000016:periodicins-95000010,42708.0,45106.0,140.0,133.0,1117.0,1035.0,1153.0,1067.0,487.0,380.0,487.0,380.0,489992.0,508405.0,101900000000.0,101900000000.0,20906939.0,3237806.0,489975.0,508329.0,1001.0,894.0,1117.0,1035.0,487.0,380.0,487.0,380.0,586.0,516.0,0.0,0.0,531.0,516.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,67995.0,69192.0,45456.0,46210.0,59392.0,60648.0,45056.0,45892.0,0.0,0.0,67992.0,69179.0,45452.0,46189.0,229256.0,241065.0,42856.0,45222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.0,1447.0,0.21316266388022662,0.20955734109617333,0.23152214730036408,0.2269214504184656,0.467877026563699,0.4741593808086073,113451.0,115402.0,0.0874626524514686,0.08894877115685329,0.6810975609756098,0.7152729785763648,0.02195121951219512,0.0221147201105736,1604.0,1415.0,0.003267363704256908,0.0029399412011759767
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-95000010:95000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,32.0,0.0,0.0,0.0,15.0,0.0,31.0,0.0,72.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,95000010:periodicins-96000025,37849.0,42522.0,96.0,120.0,1297.0,1035.0,1333.0,1075.0,391.0,413.0,391.0,413.0,475147.0,527892.0,104000000000.0,104000000000.0,-83223418.0,10761332.0,475116.0,527906.0,1050.0,927.0,1297.0,1035.0,391.0,413.0,391.0,413.0,629.0,516.0,0.0,0.0,669.0,515.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,72717.0,79501.0,47796.0,52914.0,64480.0,71524.0,49756.0,53144.0,0.0,0.0,72718.0,79500.0,47804.0,52916.0,202464.0,228169.0,37966.0,42650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,1488.0,0.24042243768770508,0.23616194221545317,0.25365202768827333,0.2508391868033613,0.4261081307469057,0.4322266675759436,120513.0,132415.0,0.07990369296238849,0.08079304100081078,0.7529002320185615,0.6955645161290323,0.02088167053364269,0.026881720430107527,1688.0,1448.0,0.002529977599156674,0.0028141269171239624
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-96000025:96000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,96000025:periodicins-97000017,47600.0,39875.0,146.0,121.0,1182.0,1294.0,1213.0,1314.0,266.0,442.0,266.0,442.0,534866.0,465875.0,101200000000.0,101200000000.0,98724730.0,-10673519.0,534858.0,465893.0,785.0,1055.0,1182.0,1294.0,266.0,442.0,266.0,441.0,596.0,676.0,0.0,0.0,582.0,620.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,72589.0,66384.0,48620.0,43907.0,63614.0,57549.0,47924.0,44884.0,0.0,0.0,72592.0,66383.0,48623.0,43891.0,254370.0,213155.0,47755.0,40012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.0,1756.0,0.2085344740551839,0.2198722833378052,0.22662685607236205,0.23670297826670245,0.4755770604226105,0.4575368929433861,121209.0,110291.0,0.08928404497575093,0.08588569895358197,0.7991886409736308,0.7380410022779044,0.020960108181203516,0.011389521640091117,1448.0,1736.0,0.0030578477778243204,0.003025302530253025
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-97000017:97000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,97000017:periodicins-98000023,41504.0,40511.0,117.0,117.0,1034.0,1150.0,1074.0,1182.0,219.0,213.0,219.0,213.0,510005.0,485850.0,95300000000.0,95300000000.0,-15949999.0,-5047768.0,510013.0,485832.0,733.0,753.0,1034.0,1150.0,219.0,213.0,219.0,213.0,467.0,535.0,0.0,0.0,561.0,612.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,75969.0,70783.0,50559.0,47036.0,67990.0,62596.0,50788.0,47464.0,0.0,0.0,75966.0,70784.0,50560.0,47033.0,223084.0,217328.0,41629.0,40637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,1395.0,0.23289575592396153,0.226530822270248,0.2480877638454525,0.2424966553463003,0.4374153194576524,0.44731501492230114,126528.0,117819.0,0.08162468995402006,0.08364104147370588,0.7996906419180201,0.8243727598566308,0.030935808197989172,0.022939068100358423,1253.0,1363.0,0.002811080944715408,0.0028797873387811364
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-98000023:98000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,98000023:periodicins-99000008,42699.0,44725.0,132.0,141.0,1285.0,1262.0,1317.0,1294.0,277.0,272.0,277.0,272.0,499333.0,508256.0,103900000000.0,103900000000.0,-55780097.0,53242213.0,499395.0,508277.0,920.0,889.0,1285.0,1262.0,277.0,272.0,277.0,272.0,665.0,641.0,0.0,0.0,603.0,614.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,71031.0,69907.0,47127.0,46559.0,61460.0,60212.0,47800.0,46696.0,0.0,0.0,71030.0,69906.0,47115.0,46551.0,229103.0,240028.0,42841.0,44875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.0,1566.0,0.21881189506802073,0.2103428193666184,0.2366056319129719,0.22913059560536422,0.45881806329643743,0.4722580746710319,118158.0,116466.0,0.08579645246759177,0.0882921205062016,0.8061480552070264,0.8058748403575989,0.020075282308657464,0.020434227330779056,1562.0,1534.0,0.003081879946767528,0.0031426915704542415
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,periodicins-99000008:99000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_4096-4096_fft-intervals,99000008:periodicins-100000018,43651.0,42959.0,125.0,119.0,1141.0,1032.0,1165.0,1064.0,226.0,222.0,226.0,222.0,495122.0,500009.0,95000000000.0,95000000000.0,3974090.0,2094395.0,495083.0,499985.0,740.0,736.0,1141.0,1032.0,226.0,222.0,226.0,222.0,585.0,538.0,0.0,0.0,546.0,494.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,67768.0,70785.0,45228.0,47116.0,59392.0,62746.0,45056.0,47292.0,0.0,0.0,67768.0,70786.0,45228.0,47128.0,233906.0,228983.0,43784.0,43086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,1286.0,0.21095406788629872,0.22007203870330333,0.22821849968290644,0.2358237551724069,0.47242093867774004,0.4579577567603783,112996.0,117901.0,0.08843073020386895,0.08617044893191922,0.8202731847591661,0.80248833592535,0.017253774263120056,0.024883359253499222,1367.0,1254.0,0.0028554459064327486,0.0027624309392265192
