directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,cycles_1,instructions_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2,cycles_2,instructions_2
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,657,1684,1338,243500,647710,272510,522,1205,475,243500,647710,176598
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_none_branch_512,651,1668,1363,237800,632548,274635,511,1195,457,237800,632548,174306
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_none_branch_2048,652,1673,1325,242700,645582,274582,503,1194,483,242700,645582,174313
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_ghb_branch_4096,648,1648,1322,237100,630686,270912,514,1214,497,237100,630686,176545
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_none_branch_512,650,1678,1375,237400,631484,274418,500,1187,446,237400,631484,174363
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,643,1670,1338,240800,640528,272697,512,1219,479,240800,640528,176157
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_simple_branch_512,652,1655,1381,247000,657020,274403,508,1191,430,247000,657020,174473
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,649,1684,1339,238300,633878,272313,521,1229,485,238300,633878,176677
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_none_branch_4096,652,1650,1359,245400,652764,273100,509,1182,456,245400,652764,174513
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_simple_branch_1024,646,1664,1358,238500,634410,273146,505,1183,451,238500,634410,174431
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_simple_branch_2048,650,1657,1382,242600,645316,274427,507,1195,433,242600,645316,174443
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_none_branch_2048,648,1672,1365,240300,639198,274573,505,1200,455,240300,639198,174348
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_ghb_branch_2048,653,1662,1360,240800,640528,274524,502,1181,450,240800,640528,174442
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_none_branch_4096,631,1653,1318,239200,636272,270646,512,1206,494,239200,636272,175867
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,628,1650,1310,241800,643188,271507,498,1171,495,241800,643188,174827
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_simple_branch_512,639,1613,1315,246200,654892,272287,497,1181,487,246200,654892,173962
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_simple_branch_2048,649,1658,1371,241400,642124,274363,508,1202,441,241400,642124,174486
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_ghb_branch_1024,641,1659,1363,236100,628026,273214,506,1199,447,236100,628026,174339
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,654,1707,1368,236900,630154,274049,515,1189,455,236900,630154,174988
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,648,1679,1381,234800,624568,274765,503,1198,435,234800,624568,174228
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_none_branch_1024,651,1670,1355,239500,637070,274586,508,1200,459,239500,637070,174323
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_ghb_branch_2048,648,1675,1371,237800,632548,274788,496,1168,440,237800,632548,172756
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,657,1673,1383,237200,630952,273742,501,1193,433,237200,630952,174960
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_simple_branch_1024,637,1652,1320,249200,662872,270043,545,1184,494,249200,662872,176306
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_simple_branch_4096,652,1676,1387,241000,641060,274328,508,1191,417,241000,641060,174464
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_simple_branch_1024,654,1668,1352,243300,647178,274501,506,1194,460,243300,647178,174351
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_simple_branch_2048,644,1660,1358,235700,626962,273240,502,1184,448,235700,626962,174344
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_1024,652,1689,1352,237200,630952,272463,523,1208,483,237200,630952,176632
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_ghb_branch_4096,646,1663,1323,241400,642124,272406,497,1176,489,241400,642124,174956
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_none_branch_4096,640,1640,1342,235500,626430,273262,508,1201,468,235500,626430,174281
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_ghb_branch_512,652,1660,1390,239700,637602,274399,501,1190,429,239700,637602,174421
/root/snipersim_framework/fft_config_l2_1024_l3MB_4096_prefetch_none_branch_4096,653,1656,1318,240900,640794,271021,520,1225,507,240900,640794,176792
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_none_branch_1024,646,1673,1374,237500,631750,274578,507,1206,441,237500,631750,174270
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_ghb_branch_512,653,1666,1381,242400,644784,274367,511,1198,435,242400,644784,174588
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_ghb_branch_1024,644,1641,1333,240500,639730,272465,512,1186,466,240500,639730,174219
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_none_branch_1024,654,1674,1334,236200,628292,272370,507,1205,491,236200,628292,176293
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_simple_branch_512,648,1657,1358,240600,639996,273150,504,1180,460,240600,639996,174429
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_simple_branch_2048,656,1685,1311,240900,640794,272478,521,1217,510,240900,640794,176475
/root/snipersim_framework/fft_config_l2_512_l3MB_4096_prefetch_none_branch_2048,651,1679,1362,237300,631218,274622,505,1170,450,237300,631218,174282
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_ghb_branch_1024,649,1687,1381,237700,632282,274556,503,1189,437,237700,632282,174277
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_ghb_branch_512,660,1677,1336,243500,647710,272320,519,1198,494,243500,647710,176556
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_none_branch_1024,647,1656,1360,238000,633080,273294,508,1209,450,238000,633080,174358
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,638,1637,1335,244300,649838,272056,502,1172,472,244300,649838,174406
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_simple_branch_4096,657,1669,1336,238800,635208,272307,510,1211,494,238800,635208,176533
/root/snipersim_framework/fft_config_l2_256_l3MB_4096_prefetch_none_branch_512,639,1643,1329,240000,638400,272148,502,1190,470,240000,638400,174340
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_none_branch_1024,646,1642,1366,245400,652764,273067,505,1199,451,245400,652764,174526
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_ghb_branch_2048,649,1682,1354,242200,644252,274396,503,1190,457,242200,644252,174358
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_ghb_branch_1024,644,1662,1363,237100,630686,273081,504,1179,450,237100,630686,174433
/root/snipersim_framework/fft_config_l2_512_l3MB_8192_prefetch_ghb_branch_512,651,1656,1394,238800,635208,274504,511,1210,422,238800,635208,174490
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_simple_branch_1024,643,1632,1350,238300,633878,273045,505,1197,462,238300,633878,174420
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_ghb_branch_2048,653,1679,1350,244900,651434,273672,502,1182,461,244900,651434,175212
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_simple_branch_512,636,1636,1332,243600,647976,272134,528,1192,465,243600,647976,174299
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_none_branch_512,638,1640,1335,244500,650370,272033,504,1174,470,244500,650370,174425
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,652,1668,1326,240900,640794,272427,500,1176,484,240900,640794,174995
/root/snipersim_framework/fft_config_l2_512_l3MB_12288_prefetch_simple_branch_512,647,1659,1373,238600,634676,274298,501,1179,447,238600,634676,174571
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,654,1671,1372,246700,656222,274403,508,1176,434,246700,656222,174473
/root/snipersim_framework/fft_config_l2_1024_l3MB_16384_prefetch_none_branch_2048,638,1638,1300,240400,639464,270166,510,1194,518,240400,639464,176178
/root/snipersim_framework/fft_config_l2_256_l3MB_16384_prefetch_none_branch_2048,643,1639,1319,236000,627760,270861,509,1200,497,236000,627760,176469
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,648,1652,1343,238700,634942,273268,498,1198,464,238700,634942,174238
/root/snipersim_framework/fft_config_l2_256_l3MB_8192_prefetch_ghb_branch_2048,643,1662,1345,240200,638932,273352,502,1174,464,240200,638932,174294
/root/snipersim_framework/fft_config_l2_1024_l3MB_8192_prefetch_simple_branch_512,649,1655,1360,240600,639996,274392,535,1188,453,240600,639996,174400
/root/snipersim_framework/fft_config_l2_512_l3MB_16384_prefetch_ghb_branch_1024,661,1684,1331,241500,642390,273821,508,1188,487,241500,642390,175031
/root/snipersim_framework/fft_config_l2_1024_l3MB_12288_prefetch_none_branch_4096,649,1653,1387,238700,634942,274360,500,1196,412,238700,634942,174385
/root/snipersim_framework/fft_config_l2_256_l3MB_12288_prefetch_none_branch_2048,645,1661,1369,237100,630686,274601,500,1200,445,237100,630686,174280
