directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/config_l2_1024_l3MB_8192_prefetch_simple_branch_512,116766,8571,6445,17412100,112760,6621,851,17412100
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_2048,116437,10235,6447,17444600,112617,5933,836,17444600
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_none_branch_4096,117900,8707,6602,15488600,112640,6757,807,15488600
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_simple_branch_512,116159,9069,6471,16637600,114208,9115,887,16637600
/root/snipersim_framework/config_l2_1024_l3MB_16384_prefetch_none_branch_512,117317,8621,6484,17496400,114217,6725,861,17496400
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_none_branch_4096,117921,10249,6624,17435200,113044,6133,755,17435200
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,116613,8545,6429,17445000,112830,6554,884,17445000
/root/snipersim_framework/config_l2_256_l3MB_12288_prefetch_none_branch_4096,117607,10444,6482,16451900,112407,6357,853,16451900
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_2048,117447,8684,6547,13501500,112325,6563,782,13501500
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_simple_branch_4096,116320,10570,6579,15437400,113149,6426,802,15437400
/root/snipersim_framework/config_l2_1024_l3MB_12288_prefetch_ghb_branch_2048,116707,8614,6467,17430500,113028,6774,830,17430500
/root/snipersim_framework/config_l2_256_l3MB_16384_prefetch_none_branch_1024,117790,10446,6541,16461100,112473,6180,846,16461100
/root/snipersim_framework/config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,117651,8620,6575,16436100,113281,6709,799,16436100
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_4096,116586,8646,6473,17430600,112828,6744,810,17430600
/root/snipersim_framework/config_l2_256_l2MB_4_prefetch_none_branch_1024,117867,10513,6553,16418200,112957,6140,839,16418200
/root/snipersim_framework/config_l2_512_l2MB_8_prefetch_none_branch_4096,118030,8582,6518,17410800,112812,6860,799,17410800
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_simple_branch_512,118597,8684,6544,16485100,113785,6853,872,16485100
/root/snipersim_framework/config_l2_512_l3MB_12288_prefetch_none_branch_2048,118042,8719,6549,18437700,112825,6775,868,18437700
