directory,branch_misprediction_1,l2_cache_miss_1,l3_cache_miss_1,time_ns_1,branch_misprediction_2,l2_cache_miss_2,l3_cache_miss_2,time_ns_2
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_none_branch_4096,456675,753176,592156,66391100,260330,127399,12886,66391100
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_none_branch_2048,501794,810741,592436,70666300,282753,157771,13022,70666300
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_2048,383067,697624,593464,68181400,394655,114949,12007,68181400
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_none_branch_512,396949,746516,592978,65524100,336946,157288,13059,65524100
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,402957,756203,591451,67981200,375467,174219,13740,67981200
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,454207,739460,593625,67612700,266824,70541,12867,67612700
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_simple_branch_512,448653,809812,593867,66986800,263295,188676,12846,66986800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_1024,398868,700516,593226,67083400,385964,113634,12114,67083400
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_simple_branch_1024,489787,775103,592354,68280900,265326,146841,12948,68280900
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_none_branch_4096,457227,832199,593704,70239400,277221,161654,12966,70239400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_simple_branch_2048,475653,801865,592429,69461700,268701,172728,12905,69461700
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_none_branch_4096,367885,773271,592488,68057400,398882,160034,13698,68057400
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,473072,728759,593473,71083800,274816,81635,12938,71083800
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_ghb_branch_512,483701,763685,592195,71464100,281950,163645,13148,71464100
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_512,383152,699522,591885,69453800,394193,116257,14144,69453800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_4096,382850,698000,592669,69330200,389057,94342,12586,69330200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_none_branch_1024,473033,789371,592934,66698600,260025,142448,13091,66698600
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_1024,468239,726228,593738,67732200,282017,85775,12790,67732200
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_4096,470895,709916,592428,68017500,269408,81767,13346,68017500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_4096,455114,749559,593470,66340900,262320,138819,12430,66340900
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_2048,461069,785363,593032,65104800,263016,153746,12812,65104800
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_none_branch_1024,459168,749098,592187,66776400,267987,134676,13007,66776400
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_512,480405,772135,592511,67271100,266791,149515,13151,67271100
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_ghb_branch_2048,483762,780461,592782,69822900,277031,146075,12999,69822900
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_none_branch_512,413410,761555,591379,74497600,391114,217094,14273,74497600
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_simple_branch_1024,417648,803020,592937,68383100,357804,177661,12732,68383100
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_ghb_branch_2048,392803,785011,593652,69551700,366772,210598,13119,69551700
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_ghb_branch_2048,380176,737649,592790,66518800,372208,149522,12005,66518800
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_none_branch_1024,387974,765918,593921,68264100,366135,180570,12420,68264100
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_simple_branch_4096,408595,709603,592887,70589200,378815,136130,14489,70589200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_ghb_branch_4096,478250,763311,593931,67477500,251995,132826,12169,67477500
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_simple_branch_512,479554,710992,591224,69166500,278767,76209,14134,69166500
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_simple_branch_4096,384427,773622,592895,64079100,350678,153221,11820,64079100
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_ghb_branch_512,465690,793130,593779,67790500,274962,140137,12852,67790500
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_simple_branch_2048,380157,717778,592585,67331200,369430,101427,12482,67331200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_2048,376622,760247,593239,67588800,359233,150292,13491,67588800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_simple_branch_1024,376482,716103,593177,66833800,358368,96362,13310,66833800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_1024,377642,693189,593449,69816500,395651,123998,12207,69816500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_none_branch_1024,496336,796620,593874,69570600,275033,140395,12969,69570600
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_simple_branch_4096,489826,720001,592357,67805200,273941,83802,12869,67805200
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_simple_branch_512,393548,805106,592078,67959700,366835,176176,13725,67959700
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_simple_branch_512,410569,692835,590890,71859800,374748,121137,14388,71859800
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_1024,382811,760357,593262,70488600,394201,135567,12682,70488600
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_simple_branch_2048,354041,787706,592422,68549800,368417,187639,12811,68549800
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_none_branch_2048,430874,754632,592593,68612400,352660,176312,13619,68612400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_ghb_branch_4096,383527,788470,592218,68989500,367140,199024,13966,68989500
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_none_branch_2048,492588,793225,593102,71216500,287612,138802,12854,71216500
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_2048,475532,707504,592575,68221900,279110,92516,12699,68221900
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_4096,437025,752513,592528,78450800,392791,176372,13167,78450800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_ghb_branch_2048,425377,697979,591966,68822900,350209,112619,13134,68822900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_simple_branch_2048,366314,717579,592987,71959300,384998,133553,14163,71959300
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_1024,464992,729155,593915,69662700,277724,99414,12497,69662700
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_ghb_branch_1024,477708,773136,592031,67280200,274122,140044,13113,67280200
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_ghb_branch_512,387717,737545,593111,68366400,377372,185406,12335,68366400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_simple_branch_512,475971,830585,593277,69625500,268191,148394,12760,69625500
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_simple_branch_2048,366367,801427,592310,68688100,388899,177431,13118,68688100
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_simple_branch_2048,475528,773725,592250,69108900,293734,167180,13042,69108900
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_simple_branch_512,352829,749320,592743,69415900,413649,165975,12412,69415900
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_none_branch_4096,385545,749476,591727,69856800,394012,175195,13899,69856800
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_simple_branch_4096,489513,710426,591957,69670500,284348,86053,13431,69670500
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_none_branch_4096,390429,793302,592845,68252200,368483,193804,13882,68252200
/root/snipersim_framework/radiosity_config_l2_256_l3MB_8192_prefetch_ghb_branch_4096,477908,791297,593185,68993700,268715,186633,13090,68993700
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_simple_branch_4096,471972,701848,592305,67786400,276582,90349,12709,67786400
/root/snipersim_framework/radiosity_config_l2_256_l3MB_12288_prefetch_none_branch_1024,374931,756100,592442,66321600,355858,181585,12321,66321600
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_ghb_branch_1024,489563,784701,593189,70110500,277279,146720,13052,70110500
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_none_branch_2048,485246,729180,593006,67470100,264128,79979,12836,67470100
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_none_branch_2048,365445,763412,593010,69398700,403931,179525,13667,69398700
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_1024,502020,711109,592391,68810800,278652,87323,12808,68810800
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_none_branch_1024,464538,749948,593528,67600900,271956,140079,12598,67600900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_none_branch_512,349854,692038,592488,71390900,381799,151412,14479,71390900
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_2048,452915,723113,593894,67825400,293373,96066,12787,67825400
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_none_branch_4096,452855,705941,592301,71558400,339888,117554,13211,71558400
