directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-828000028-periodicins-829000012-999984.txt,periodicins-828000028,periodicins-829000012,35.4213,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-845000008-periodicins-846000059-1000051.txt,periodicins-845000008,periodicins-846000059,38.9239,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1072000005-periodicins-1073000004-999999.txt,periodicins-1072000005,periodicins-1073000004,30.3652,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-896000057-periodicins-897000030-999973.txt,periodicins-896000057,periodicins-897000030,35.5291,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-976000009-periodicins-977000008-999999.txt,periodicins-976000009,periodicins-977000008,35.2238,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-349000052-periodicins-350000051-999999.txt,periodicins-349000052,periodicins-350000051,36.0676,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1039000022-periodicins-1040000013-999991.txt,periodicins-1039000022,periodicins-1040000013,36.4867,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-913000021-periodicins-914000003-999982.txt,periodicins-913000021,periodicins-914000003,36.8295,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-504000021-periodicins-505000023-1000002.txt,periodicins-504000021,periodicins-505000023,41.0905,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-471000013-periodicins-472000046-1000033.txt,periodicins-471000013,periodicins-472000046,33.7748,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-803000057-periodicins-804000042-999985.txt,periodicins-803000057,periodicins-804000042,36.7074,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-676000004-periodicins-677000003-999999.txt,periodicins-676000004,periodicins-677000003,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-83000001-periodicins-84000003-1000002.txt,periodicins-83000001,periodicins-84000003,16.1783,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-278000010-periodicins-279000014-1000004.txt,periodicins-278000010,periodicins-279000014,27.1747,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1050000033-periodicins-1051000056-1000023.txt,periodicins-1050000033,periodicins-1051000056,42.2041,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1120000002-periodicins-1121000004-1000002.txt,periodicins-1120000002,periodicins-1121000004,30.3885,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-434000030-periodicins-435000083-1000053.txt,periodicins-434000030,periodicins-435000083,36.3116,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-984000024-periodicins-985000018-999994.txt,periodicins-984000024,periodicins-985000018,35.0689,0.0,0.0
