directory,period,start,roi-begin,roi-end,stop,branch_predictor.num-correct_core0,branch_predictor.num-correct_core1,branch_predictor.num-incorrect_core0,branch_predictor.num-incorrect_core1,L2.load-misses_core0,L2.load-misses_core1,L2.loads_core0,L2.loads_core1,L2.stores_core0,L2.stores_core1,L2.store-misses_core0,L2.store-misses_core1,core.instructions_core0,core.instructions_core1,performance_model.elapsed_time_core0,performance_model.elapsed_time_core1,performance_model.idle_elapsed_time_core0,performance_model.idle_elapsed_time_core1,performance_model.instruction_count_core0,performance_model.instruction_count_core1,L3.load-misses_core0,L3.load-misses_core1,L3.loads_core0,L3.loads_core1,L3.stores_core0,L3.stores_core1,L3.store-misses_core0,L3.store-misses_core1
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-20800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-21200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-21600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-22000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-22400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-22800000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-23200000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-23600000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-24000000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
/root/snipersim_framework/config_l2_256_l3MB_8192_prefetch_none_branch_512_fft,periodic-24400000000,start,roi-begin,roi-end,stop,0,0,0,0,2,0,2,0,2,0,2,0,0,0,48060821888,0,400000000,400000000,0,0,3,0,3,0,3,0,3,0
